income,fixed_expenses,variable_expenses,total_expenses,savings_goal,lifestyle_score,savings
77417.85,18438.71,12026.43,30465.14,20619.15,3.89,37416.52
61543.39,15961.28,2897.55,18858.83,6335.15,1.93,42119.7
81192.21,32047.19,5300.9,37348.09,24585.91,1.65,48276.14
103075.75,36246.83,5007.43,41254.25,21737.47,1.85,45361.65
59146.17,14477.6,13514.17,27991.77,12762.06,6.25,27382.64
59146.58,18705.84,2193.01,20898.84,19878.38,1.46,20800.55
104480.32,29923.96,23198.21,53122.17,29573.71,4.03,35752.3
84185.87,24895.12,13154.66,38049.78,22900.54,7.78,27745.22
53263.14,14330.07,10831.81,25161.89,16312.75,3.65,26970.25
78564.0,19532.8,33467.16,52999.96,6062.37,7.87,17512.68
53414.56,17894.95,20646.76,38541.71,14037.0,7.71,14264.49
53356.76,19359.48,10271.39,29630.87,6309.26,3.21,24862.75
71049.06,27024.34,12134.54,39158.88,9440.43,7.56,33021.77
17167.99,4239.53,6351.41,10590.94,1492.03,7.73,2746.38
21877.05,7666.53,5513.13,13179.66,7144.82,4.58,6924.41
50942.81,12459.55,3763.85,16223.4,13628.27,2.89,32774.67
39679.22,11724.82,10293.74,22018.56,3328.16,5.69,11908.3
72856.18,28112.39,24209.68,52322.07,10548.98,9.29,14608.98
42299.4,12218.93,10875.32,23094.24,8487.96,6.76,17481.58
29692.41,6895.65,4384.66,11280.31,5614.43,2.56,14194.79
101641.22,24161.72,30119.1,54280.82,23566.91,7.14,31624.25
59355.59,17305.99,6774.14,24080.13,11423.75,4.84,31368.75
66688.21,23882.86,24640.71,48523.57,16262.31,6.32,17405.42
29381.3,11667.67,6098.47,17766.15,9030.92,7.61,11382.09
51390.43,17847.37,16024.32,33871.69,8959.43,5.63,9897.18
67773.06,26248.33,32978.67,59226.99,21323.11,8.33,5091.0
36225.16,12723.13,15099.28,27822.41,4377.9,7.5,7190.59
74392.45,27845.84,22739.43,50585.27,6374.07,6.54,21389.33
49984.03,10064.1,5960.11,16024.2,6222.4,2.36,36419.38
57707.66,21629.37,23660.64,45290.0,6758.3,8.52,7969.97
49957.33,13765.69,17958.67,31724.36,17380.5,9.42,14472.06
111306.95,43740.37,7279.47,51019.84,18078.39,2.23,46401.11
64662.57,13619.6,10643.62,24263.22,15974.89,5.39,40970.47
38557.23,13950.73,6061.5,20012.23,10130.18,3.33,18144.76
